,,,,,
,,,,,
,,,,,
GAUSS,,,,,
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań
52,3.60822483003176E-16,6.41174066480158E-19,0.03523077,0.68857897,1
53,5.55111512312578E-16,5.32892385976592E-19,0.039236322,0.795606465,1
54,3.33066907387547E-16,1.50233132422336E-18,0.043497306,0.857020952,1
55,3.33066907387547E-16,6.04906619508761E-19,0.090166742,0.992477571,1
56,3.88578058618805E-16,3.44725610538103E-18,0.090394867,1.176378562,1
57,3.88578058618805E-16,4.33178220411378E-18,0.064858546,1.539416092,1
58,3.33066907387547E-16,2.27753966361366E-18,0.099645581,1.767642692,1
59,3.33066907387547E-16,7.7326125926475E-19,0.076971914,1.838682224,1
60,4.44089209850063E-16,2.88300795585592E-19,0.112025759,3.64561642,1
,,,,,
GAUSS_SEIDEL_MINUS10,,,,,
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań
,,,,,
15,4.84044748727541E-11,3.93508531355501E-12,0.000340877696697,0.02778581142943,333
16,4.75850747694295E-11,3.78310218779029E-12,0.000414002198718,0.034529513230769,312
17,4.70340155711568E-11,3.73984964841307E-12,0.00052439242517,0.046774761112245,294
18,4.68149685683983E-11,3.5861231246988E-12,0.000670753837545,0.065009991404332,277
19,4.60535498625347E-11,3.52068436793287E-12,0.000781911904943,0.082372219403042,263
20,4.4932974008205E-11,3.37741858832447E-12,0.000929411024,0.110310311128,250
21,4.44564385304602E-11,3.30497583635972E-12,0.001055589789474,0.163696034421053,19
22,4.38676872605015E-11,3.1756036185121E-12,0.001205572055556,0.205206067666667,18
23,4.30148694441357E-11,3.10309385457167E-12,0.001847988,0.256255126294118,17
24,4.83025008879423E-11,3.42957254316488E-12,0.001740980125,0.318891227,16
25,4.75163242086296E-11,3.32948408970733E-12,0.0021174788125,0.3866615276875,16
26,4.65273930494448E-11,3.19441534819828E-12,0.002605021866667,0.503908348066667,15
27,4.54001281013916E-11,3.10447000805279E-12,0.003056359857143,0.608512987285714,14
28,4.44630721130324E-11,2.98702551245426E-12,0.003719116357143,0.9572376585,14
29,4.33605235050649E-11,3.05782785926784E-12,0.004912493769231,1.13240032507692,13
30,4.77768380413579E-11,3.1233260215499E-12,0.005276670615385,1.33392639353846,13
31,4.65580352049244E-11,3.03085615141992E-12,0.0093508875,2.19892565191667,12
32,4.56762128120403E-11,2.91994644805548E-12,0.008248615916667,1.8733936925,12
33,4.48079073844809E-11,2.83799098444107E-12,0.006555126333333,1.71857377458333,12
34,4.82127393564014E-11,3.01232823221223E-12,0.007763068818182,2.39845018945455,11
35,4.703754052926E-11,2.92356876737014E-12,0.009981945272727,2.10664173554545,11
