

GAUSS,Preparation
Współczynniki wielomianu:
2.3350439175615983E-11 x^3,-3.73562735299031E-8 x^2,3.927924861861045E-5 x^1,-0.006632202623758287 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
Współczynniki wielomianu:
0.026544550834587136 x^1,-12.310426442549858 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
136,-8.700367529046007,1053.9619880317077,8.708630284613575
153,-8.249110164858026,776.4082742711496,8.259748573601616
171,-7.7713082498354575,514.591279703765,7.786439558634777
190,-7.266961783978302,249.11210735108153,7.29625080925628
210,-6.736070767286559,208.53813751954004,6.76852779348808
231,-6.17863519976023,133.82878483301215,6.22515098478023
253,-5.594655081399313,109.97246654512475,5.6459951607677334
276,-4.984130412203808,69.17458901884605,5.0572387430926975
300,-4.347061192173717,48.67902901553744,4.438234634291364
325,-3.6834474213090385,31.959410076969135,3.8024240882465383
351,-2.9932890996097736,19.498642077219845,3.155100387547274
378,-2.2765862270759207,11.972570089671896,2.4840659887425875
406,-1.5333388037074815,6.698003132460404,1.8024398849217673
435,-0.7635468295044543,3.327331509443428,1.09162507121874
465,0.03278969553316102,0.9388664313002427,0.5035718523129928
496,0.8556707714053609,0.26020704088369384,0.1766785553284378
528,1.7050963981121505,1.0261627334558363,0.8635566886121505
561,2.5810665756535247,1.439695374893121,1.5231203245701914
595,3.4835813040294887,1.7123771928532614,2.1992535515294884
630,4.412640583240037,2.0672576435360783,2.9740132828764008
666,5.368244413285176,3.101392975195446,4.059361200739721
703,6.3503927941649,3.0576129719651597,4.785336481983082
741,7.359085725879211,2.906787447899926,5.475418947479211
780,8.394323208428109,2.7250111768955136,6.140820383928109
820,9.456105241811592,2.1168401772126026,6.422229680611592
861,10.544431826029665,1.5269066217570446,6.371570140029665
903,11.659302961082325,1.3768677564059362,6.7539804290823255
946,12.800718646969571,1.258843502779272,7.133783938469572
990,13.968678883691407,1.1507119280399827,7.473769592691407
1035,15.163183671247829,0.8854792178916857,7.12109891774783
1081,16.384233009638837,1.488714719822498,9.800821548638837
1128,17.631826898864432,1.3186031765812403,10.027322998864431
1176,18.905965338924613,1.0476083401905774,9.672771193424612
1225,20.206648329819384,0.8784100122705619,9.449333261319385
1275,21.53387587154874,0.8119648604652882,9.649607947048741
1326,22.887647964112684,0.6988453940943455,9.415175399112684
1378,24.267964607511214,0.5676751461847103,8.787739213511214
1431,25.67482580174433,0.43435528626948766,7.774919099744331
1485,27.10823154681204,0.34014259268835667,6.880360501812039
1540,28.568181842714328,0.251047500005114,5.732772441714328
1596,30.05467668945121,0.15674251998636468,4.072510243451209
1653,31.567716087022678,0.16214585400774956,6.109147168977319
1711,33.107300035428736,0.26179315677927945,11.740970255571263
